"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"1088","Madrid","CALLE","TORENO                                            ","42,70055","-6,509904","Castilla y León"
"1089","Madrid","CALLE","VALENCIA DE DON JUAN                              ","42,29401","-5,519861","Castilla y León"
"1090","Madrid","CALLE","AGUILAR DE CAMPOO                                 ","42,79245","-4,260221","Castilla y León"
"1091","Madrid","CALLE","ALAR DEL REY                                      ","42,65989","-4,311825","Castilla y León"
"1092","Madrid","CALLE","SIGÜENZA                                          ","41,0696","-2,642236","Castilla-La Mancha"
"1093","Madrid","CALLE","SERRANILLOS DEL VALLE                             ","40,20465","-3,885819","Madrid, Comunidad de"
"1094","Madrid","CALLE","QUIJORNA                                          ","40,42656","-4,057429","Madrid, Comunidad de"
"1095","Madrid","CALLE","ZORITA DE LA FRONTERA                             ","41,01429","-5,197237","Castilla y León"
"1096","Madrid","CALLE","VALVERDE DE LA VIRGEN                             ","42,56865","-5,683748","Castilla y León"
"1097","Madrid","CALLE","VALDERREBOLLO                                     ","40,8103","-2,729513","Castilla-La Mancha"
"1098","Madrid","CALLE","TINEO                                             ","43,33509","-6,414816","Asturias, Principado de"
"1099","Madrid","CALLE","ROZAS DE PUERTO REAL                              ","40,31007","-4,490765","Madrid, Comunidad de"
"1100","Madrid","CALLE","LUMBRALES                                         ","40,93554","-6,717643","Castilla y León"
"1101","Madrid","CALLE","PESQUERA DE DUERO                                 ","41,64265","-4,157403","Castilla y León"
"1102","Madrid","CALLE","FOMPEDRAZA                                        ","41,53621","-4,145766","Castilla y León"
"1103","Madrid","CALLE","BERCIAL                                           ","40,90679","-4,436669","Castilla y León"
"1104","Madrid","CALLE","MONSALUPE                                         ","40,76863","-4,781026","Castilla y León"
"1105","Madrid","CALLE","SANCHORREJA                                       ","40,66479","-4,915372","Castilla y León"
"1106","Madrid","PSAJE","VILLACONEJOS                                      ","40,10424","-3,484903","Madrid, Comunidad de"
"1107","Madrid","PSAJE","COBEÑA                                            ","40,56733","-3,504839","Madrid, Comunidad de"
"1108","Madrid","PSAJE","VILLALBILLA                                       ","40,43228","-3,298869","Madrid, Comunidad de"
"1109","Madrid","PSAJE","TIELMES                                           ","40,24457","-3,314466","Madrid, Comunidad de"
"1110","Madrid","CMNO ","MOLINOS                                           ","40,81963","-0,450496","Aragón"
"1111","Madrid","CALLE","RICLA                                             ","41,50775","-1,402532","Aragón"
"1112","Madrid","CALLE","NOGALES                                           ","38,58658","-6,749022","Extremadura"
"1113","Madrid","CALLE","VILLALBA DE LA SIERRA                             ","40,23558","-2,088232","Castilla-La Mancha"
"1114","Madrid","CALLE","CULLA                                             ","40,33772","-0,1657969","Comunitat Valenciana"
"1115","Madrid","CALLE","SABADELL                                          ","41,54862","2,107421","Cataluña"
"1116","Madrid","AVDA ","SALAS DE LOS INFANTES                             ","42,02327","-3,286438","Castilla y León"
